Artists,URI
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY
Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp
Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
SZA,spotify:artist:176F6CdFEVWYNwqM6HEXU2
Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3
Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP
Marshmello,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla
Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa
Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft
Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
Daddy Yankee,spotify:artist:4VMYDCV2IEDYJArk749S6m
Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms
Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny
J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
BeyoncÃ©,spotify:artist:2GVyVp6wsz2jjb21lrFes4
Adele,spotify:artist:1d4uM0g9449nE9TV5KeWch
Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X
Peso Pluma,spotify:artist:12GqGscKJx3aE4t07u7eVZ
Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b
Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
Myke Towers,spotify:artist:7iK8PXO48WeuP03g8YR51W
Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq
Ozuna,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY
Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH
Sia,spotify:artist:176F6CdFEVWYNwqM6HEXU2
Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
Bebe Rexha,spotify:artist:64M6ah0SkkRsnPGtGiRAbb
TiÃ«sto,spotify:artist:2cG0K3GpoKFnpnXFuYjn7s
Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2
Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36
Charlie Puth,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
Ice Spice,spotify:artist:3LZZPxNDGDFVSIPqf4JuEf
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
Anne-Marie,spotify:artist:1zNqDE7qDGCsyzJwohVaoX
Madonna,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW
Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS
Feid,spotify:artist:2LRoIwlKmHjgvigdNGBHNo
Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF
Swae Lee,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX
Arijit Singh,spotify:artist:4YRxDV8wJFPHPTeXepOstw
One Direction,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq
James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM
Farruko,spotify:artist:329e4yvIujISKGKz1BZZbO
Quevedo,spotify:artist:52iwsT98xCoGgiGntTiR7K
Playboi Carti,spotify:artist:699OTQXzgjhIYAHMy9RyPD
The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp
Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg
Gunna,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm
Avicii,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM
JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
Latto,spotify:artist:3MdXrJWsbVzdn6fe5JYkSQ
