track_title,album_title,artist_name
DAME Q,KUSTOM,LIT killah
NO LOS VI,KUSTOM,LIT killah
LuXxX,KUSTOM,LIT killah
ALL INCLUSIVE,KUSTOM,LIT killah
DAMN GIRL,KUSTOM,LIT killah
BPM,KUSTOM,LIT killah
Dreams & Love,KUSTOM,LIT killah
Somos 3,KUSTOM,LIT killah
NADA DE NADA,KUSTOM,LIT killah
Carta de Despedida,KUSTOM,LIT killah
MAN$ION,SnipeZ,LIT killah
Luz Verde,SnipeZ,LIT killah
Bad B*tches,SnipeZ,LIT killah
Bipolar,SnipeZ,LIT killah
OTRA VEZ,SnipeZ,LIT killah
KU',SnipeZ,LIT killah
Mientras Tanto,SnipeZ,LIT killah
La Noche,SnipeZ,LIT killah
La Tormenta,SnipeZ,LIT killah
GO,SnipeZ,LIT killah
La Trampa es Ley,SnipeZ,LIT killah
Killer Bombón,SnipeZ,LIT killah
Dejame Tranki,MAWZ,LIT killah
California,MAWZ,LIT killah
En la Oscuridad,MAWZ,LIT killah
My Bag,MAWZ,LIT killah
Mala Mía,MAWZ,LIT killah
A tus Pies,MAWZ,LIT killah
No Hables Mal de Mí,MAWZ,LIT killah
Ese Mensaje,MAWZ,LIT killah
Sé Que No Te Gusta Estar So' (freestyle),MAWZ,LIT killah
Dame Una Nite,MAWZ,LIT killah
El Inversor,MAWZ,LIT killah
Hechizame,MAWZ,LIT killah
Change,MAWZ,LIT killah
Soy Uno Más,MAWZ,LIT killah
La Despedida,Despedida,LIT killah
No se me Olvida,No se me Olvida,LIT killah
Dresscode,Dresscode,LIT killah
FIAMORE,FIAMORE,LIT killah
Protagonista,Protagonista,LIT killah
MALA SUERTE,MALA SUERTE,LIT killah
EN DONDE,EN DONDE,LIT killah
Poco a Poco,Poco a Poco,LIT killah
La Respuesta,La Respuesta,LIT killah
Cuéntame,Cuéntame,LIT killah
El Viento,El Viento,LIT killah
EXTASI,EXTASI,LIT killah
This Girl (Kungs Vs. Cookin' On 3 Burners),The Complete Collection,Kungs
Don't You Know (Radio Edit),The Complete Collection,Kungs
