,track_title,album_title,artist_name
0,DAME Q,KUSTOM,LIT killah
1,NO LOS VI,KUSTOM,LIT killah
2,LuXxX,KUSTOM,LIT killah
3,ALL INCLUSIVE,KUSTOM,LIT killah
4,DAMN GIRL,KUSTOM,LIT killah
5,BPM,KUSTOM,LIT killah
6,Dreams & Love,KUSTOM,LIT killah
7,Somos 3,KUSTOM,LIT killah
8,NADA DE NADA,KUSTOM,LIT killah
9,Carta de Despedida,KUSTOM,LIT killah
10,MAN$ION,SnipeZ,LIT killah
11,Luz Verde,SnipeZ,LIT killah
12,Bad B*tches,SnipeZ,LIT killah
13,Bipolar,SnipeZ,LIT killah
14,OTRA VEZ,SnipeZ,LIT killah
15,KU',SnipeZ,LIT killah
16,Mientras Tanto,SnipeZ,LIT killah
17,La Noche,SnipeZ,LIT killah
18,La Tormenta,SnipeZ,LIT killah
19,GO,SnipeZ,LIT killah
20,La Trampa es Ley,SnipeZ,LIT killah
21,Killer Bombón,SnipeZ,LIT killah
22,Dejame Tranki,MAWZ,LIT killah
23,California,MAWZ,LIT killah
24,En la Oscuridad,MAWZ,LIT killah
25,My Bag,MAWZ,LIT killah
26,Mala Mía,MAWZ,LIT killah
27,A tus Pies,MAWZ,LIT killah
28,No Hables Mal de Mí,MAWZ,LIT killah
29,Ese Mensaje,MAWZ,LIT killah
30,Sé Que No Te Gusta Estar So' (freestyle),MAWZ,LIT killah
31,Dame Una Nite,MAWZ,LIT killah
32,El Inversor,MAWZ,LIT killah
33,Hechizame,MAWZ,LIT killah
34,Change,MAWZ,LIT killah
35,Soy Uno Más,MAWZ,LIT killah
36,La Despedida,Despedida,LIT killah
37,No se me Olvida,No se me Olvida,LIT killah
38,Dresscode,Dresscode,LIT killah
39,FIAMORE,FIAMORE,LIT killah
40,Protagonista,Protagonista,LIT killah
41,MALA SUERTE,MALA SUERTE,LIT killah
42,EN DONDE,EN DONDE,LIT killah
43,Poco a Poco,Poco a Poco,LIT killah
44,La Respuesta,La Respuesta,LIT killah
